# FEAT_ID     Score                   Feature Expression
89            0.460554995449140081    ((surface_area * std_dev) * (av_E_def_subsurf * total_metal_loading))
90            0.460716205168112847    ((av_E_def_subsurf * std_dev) / (av_PE^3))
91            0.46539229689115641     (sqrt(std_dev) * (av_delta_M1_M2_subsurf * total_metal_loading))
92            0.466573833802712945    ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|))
93            0.467217794402639774    ((std_dev * total_metal_loading) * (av_E_def_subsurf * total_metal_loading))
94            0.475946598905677698    ((std_dev * total_metal_loading) * (av_E_def_subsurf / av_IP))
95            0.477977583328556943    ((av_W_change_H * time) / (av_d_band_center_surf - av_BE_H_surf))
96            0.487110986865057771    ((std_dev / av_PE) * (av_E_def_subsurf * total_metal_loading))
97            0.490392423086858154    (sqrt(std_dev) * (av_E_def_subsurf * total_metal_loading))
98            0.518390618605988895    (cbrt(std_dev) * (av_delta_M1_M2_subsurf * total_metal_loading))
99            0.526351396759736634    ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf))
#-----------------------------------------------------------------------
100           0.293630333429541091    ((std_dev * total_metal_loading) * ln(av_delta_M1_M2_subsurf))
101           0.293632188847106457    ((av_d_band_center_surf * std_dev) * (av_mu_C_critical_subsurf * total_metal_loading))
102           0.293734512072939546    (sqrt(std_dev) * total_metal_loading)
103           0.293945134620031412    ((total_metal_loading^3) * (std_dev / av_delta_M1_M2_subsurf))
104           0.293971013451933383    ((std_dev * total_metal_loading) / sqrt(av_E_def_subsurf))
105           0.294004370086702327    ((std_dev / av_E_coh) * (total_metal_loading^3))
106           0.294044412726298721    (cbrt(std_dev) * (total_metal_loading / av_delta_M1_M2_subsurf))
107           0.294097553712809268    ((std_dev * total_metal_loading) / (av_BE_H_surf - av_EA))
108           0.294124875447430434    ((std_dev * total_metal_loading) / (av_delta_M1_M2_subsurf + total_metal_loading))
109           0.294142459153013514    ((std_dev * total_metal_loading) * (total_metal_loading / av_BE_H_surf))
110           0.294229616567702357    ((av_bulk_int_dist / av_delta_M1_M2_subsurf) * (std_dev * total_metal_loading))
111           0.294364425565539711    ((total_metal_loading / av_EA) * (av_d_band_center_surf * std_dev))
112           0.294394027314211437    ((exp(5.231506e-01*std_dev)) * (total_metal_loading / av_IP))
113           0.29458279988481495     ((std_dev * total_metal_loading) / sqrt(av_delta_M1_M2_subsurf))
114           0.294608504951001327    ((std_dev * total_metal_loading) / (av_delta_M1_M2_subsurf - total_metal_loading))
115           0.294638534137217689    ((total_metal_loading^3) * (std_dev / av_BE_H_surf))
116           0.294694242686272756    ((std_dev * total_metal_loading)^2)
117           0.294715935793667116    ((std_dev^2) * (total_metal_loading^3))
118           0.294800227524698422    ((total_metal_loading^3) * (std_dev / av_E_def_subsurf))
119           0.29494538080949112     ((std_dev * total_metal_loading) / (av_E_def_subsurf * av_bulk_int_dist))
120           0.294982935715185079    (cbrt(std_dev) * (av_IP * total_metal_loading))
121           0.295157265844327277    ((std_dev * total_metal_loading) * (total_metal_loading / av_E_coh))
122           0.295159409631127634    ((std_dev * total_metal_loading) * (total_metal_loading / av_IP))
123           0.295251724408198635    ((total_metal_loading / av_delta_M1_M2_subsurf) * std_dev)
124           0.295336071040583459    ((std_dev * total_metal_loading) / (av_E_def_subsurf * av_IP))
125           0.295773425016445102    ((std_dev * total_metal_loading) * sqrt(total_metal_loading))
126           0.296160156525355822    ((std_dev * total_metal_loading) * (total_metal_loading^2))
127           0.296500612192707347    ((std_dev * total_metal_loading) / (av_BE_H_surf * av_delta_M1_M2_subsurf))
128           0.296529951534676317    ((exp(5.231506e-01*std_dev)) * (total_metal_loading^2))
129           0.296630622629877827    ((std_dev^2) / (ln(-1.0*av_delta_M1_M2_subsurf+9.347000e-02)))
130           0.296735617378636962    ((std_dev^3) / (ln(-1.0*av_delta_M1_M2_subsurf+9.347000e-02)))
131           0.296852597504162652    ((std_dev * total_metal_loading) / (av_E_def_subsurf * av_PE))
132           0.297067970570544848    (sqrt(std_dev) * (total_metal_loading / av_delta_M1_M2_subsurf))
133           0.297251575651434452    ((exp(5.231506e-01*std_dev)) / (ln(-1.0*av_delta_M1_M2_subsurf+9.347000e-02)))
134           0.297394456240969662    ((av_bulk_int_dist * total_metal_loading) * sqrt(std_dev))
135           0.297503994797376825    ((av_PE * std_dev) * (total_metal_loading^2))
136           0.297528831287081241    ((std_dev * total_metal_loading) * (total_metal_loading / av_E_def_subsurf))
137           0.298120778312177204    ((total_metal_loading^3) * (av_IP * std_dev))
138           0.298185665249216081    ((std_dev * total_metal_loading) / (av_delta_M1_M2_subsurf * av_PE))
139           0.298323984712658363    ((std_dev * total_metal_loading) * (total_metal_loading / av_delta_M1_M2_subsurf))
140           0.29832703550103018     ((total_metal_loading^2) * (av_IP * std_dev))
141           0.298409976167433366    ((total_metal_loading^2) * std_dev)
142           0.298571055032195387    ((std_dev * total_metal_loading) / (av_delta_M1_M2_subsurf * av_E_coh))
143           0.298579063056263749    ((std_dev * total_metal_loading) / (av_delta_M1_M2_subsurf * av_IP))
144           0.299031564114863813    ((av_bulk_int_dist * std_dev) * (total_metal_loading^3))
145           0.299380077297956182    ((av_PE * std_dev) * (total_metal_loading^3))
146           0.30048219776102103     ((std_dev * total_metal_loading) / (ln(-1.0*av_delta_M1_M2_subsurf+9.347000e-02)))
147           0.301136514101392361    ((av_bulk_int_dist * std_dev) * (total_metal_loading^2))
148           0.30175364104840624     ((av_bulk_int_dist * total_metal_loading) * cbrt(std_dev))
149           0.302692999398446572    ((exp(5.231506e-01*std_dev)) - (av_delta_M1_M2_subsurf / total_metal_loading))
#-----------------------------------------------------------------------
150           0.159365663677149993    ((std_dev / surface_area) * (av_E_def_subsurf * av_PE))
151           0.159566964682102908    ((av_E_def_subsurf / std_dev) / (av_BE_H_subsurf + av_EA))
152           0.159999723901374319    ((av_delta_M1_M2_subsurf * std_dev) / (surface_area^3))
153           0.160063501783338918    ((particle_diameter / std_dev) / (av_BE_H_subsurf + av_EA))
154           0.160072175774885361    ((av_E_coh * std_dev) / (surface_area^2))
155           0.160181166313026396    ((av_mu_C_critical_surf / surface_area) * (av_E_def_subsurf * std_dev))
156           0.160444033185869972    ((av_BE_H_subsurf * std_dev) / (surface_area^3))
157           0.160488050000840959    ((av_B_0 * std_dev) / (surface_area^2))
158           0.160615197800891868    ((av_delta_M1_M2_subsurf * std_dev) / (surface_area^2))
159           0.160745601260247478    ((av_E_b_C_subsurf / surface_area) * (av_delta_M1_M2_subsurf * std_dev))
160           0.160759774341029088    ((av_BE_H_subsurf * std_dev) * (av_delta_M1_M2_subsurf / surface_area))
161           0.160982805172949217    ((av_E_def_subsurf / surface_area) * (av_BE_H_surf * std_dev))
162           0.161083925980316983    ((av_mu_C_critical_subsurf * std_dev) / (surface_area^3))
163           0.161115043016340748    ((std_dev * time) / (surface_area^3))
164           0.161470529860792494    ((av_BE_H_surf * std_dev) / (surface_area^3))
165           0.161537773429168779    ((exp(9.016580e-01*av_E_coh)) * (total_metal_loading / av_BE_H_subsurf))
166           0.16157522195246915     (sqrt(particle_diameter) * (av_E_def_subsurf / surface_area))
167           0.162206104744210128    ((av_IP / surface_area) * (av_E_def_subsurf * std_dev))
168           0.162341638216146639    ((av_B_0 * std_dev) / (surface_area^3))
169           0.162343461959382068    ((particle_diameter * time) / (surface_area^3))
170           0.162537815814214615    ((std_dev / av_bulk_int_dist) / (surface_area^3))
171           0.162576833466709286    ((av_E_coh * std_dev) / (surface_area^3))
172           0.162688661084263358    ((av_E_b_C_subsurf * std_dev) / (surface_area^3))
173           0.16277542000423223     ((surface_area / std_dev) / (av_BE_H_subsurf + av_EA))
174           0.163516328113276599    ((surface_area / av_IP) / (av_delta_M1_M2_subsurf * total_metal_loading))
175           0.163528218261293629    ((av_B_0 / std_dev) / (av_BE_H_subsurf + av_EA))
176           0.164023054890867076    ((av_mu_C_critical_surf * std_dev) / (surface_area^3))
177           0.164204443460697264    (sqrt(std_dev) * (av_E_def_subsurf / surface_area))
178           0.164626403018717171    ((av_E_def_subsurf * particle_diameter) / (av_bulk_int_dist * surface_area))
179           0.165151626127164136    ((av_mu_C_critical_surf / surface_area) * (av_delta_M1_M2_subsurf * std_dev))
180           0.165440152068223462    ((std_dev / av_d_band_center_surf) / (surface_area^3))
181           0.165481745767314392    ((std_dev / surface_area) * (av_E_def_subsurf * av_B_0))
182           0.166032032976808824    ((av_E_coh^3) * (total_metal_loading / av_BE_H_subsurf))
183           0.166401545695527259    ((av_E_coh * std_dev) * (av_E_def_subsurf / surface_area))
184           0.166573523062500867    ((av_EA / std_dev) / (av_BE_H_subsurf + av_EA))
185           0.166584817924849582    ((av_mu_C_critical_surf / std_dev) / (av_BE_H_subsurf + av_EA))
186           0.166832406954240203    ((std_dev + particle_diameter) * (av_E_def_subsurf / surface_area))
187           0.167047460080535282    ((av_E_b_C_subsurf / std_dev) / (av_BE_H_subsurf + av_EA))
188           0.167376380969767369    ((av_mu_C_critical_subsurf / std_dev) / (av_BE_H_subsurf + av_EA))
189           0.167827900693437088    ((av_BE_H_subsurf / std_dev) / (av_BE_H_subsurf + av_EA))
190           0.167902007275591847    ((av_delta_M1_M2_subsurf / std_dev) / (av_BE_H_subsurf + av_EA))
191           0.169079467619647178    ((av_E_coh / std_dev) / (av_BE_H_subsurf + av_EA))
192           0.169131053847384888    ((av_d_band_center_surf / std_dev) / (av_BE_H_subsurf + av_EA))
193           0.170729079821142132    ((av_PE / std_dev) / (av_BE_H_subsurf + av_EA))
194           0.171151262630035966    ((av_BE_H_surf / std_dev) / (av_BE_H_subsurf + av_EA))
195           0.171408141364022659    ((av_IP / std_dev) / (av_BE_H_subsurf + av_EA))
196           0.17171688961284759     ((av_E_def_subsurf * std_dev) / (surface_area^3))
197           0.173595691119502044    ((av_bulk_int_dist / std_dev) / (av_BE_H_subsurf + av_EA))
198           0.176458608953964896    ((total_metal_loading / std_dev) / (av_BE_H_subsurf + av_EA))
199           0.178090994590943325    ((av_E_def_subsurf * std_dev) / (surface_area^2))
#-----------------------------------------------------------------------
200           0.0781611719059372573   ((av_W_change_H^3) / (surface_area * time))
201           0.0791378293624790397   ((av_BE_H_surf / time) / (av_BE_H_subsurf + av_EA))
202           0.0794835626847220228   ((av_E_def_subsurf / time) / (av_BE_H_subsurf + av_EA))
203           0.080219083817275591    ((av_delta_M1_M2_subsurf / time) / (av_BE_H_subsurf + av_EA))
204           0.0804512316079762507   ((av_E_b_C_subsurf / time) / (av_BE_H_subsurf + av_EA))
205           0.0804568013248651154   ((av_mu_C_critical_subsurf / time) / (av_BE_H_subsurf + av_EA))
206           0.0823370977076763461   ((av_IP / time) / (av_BE_H_subsurf + av_EA))
207           0.08299051880791182     ((av_BE_H_subsurf / time) / (av_BE_H_subsurf + av_EA))
208           0.0849661352875797499   ((av_E_coh / time) / (av_BE_H_subsurf + av_EA))
209           0.0855633054032603063   ((av_PE / time) / (av_BE_H_subsurf + av_EA))
210           0.08599424563820246     ((av_mu_C_critical_surf / time) / (av_BE_H_subsurf + av_EA))
211           0.0878616653589063268   ((av_W_change_H / time) / (ln(1.0*av_EA-8.989226e-01)))
212           0.0921046376672832595   ((av_EA / time) / (av_BE_H_subsurf + av_EA))
213           0.0951031690658314804   ((av_B_0 / time) / (av_BE_H_subsurf + av_EA))
214           0.100308663084297367    ((av_EA / time) / (ln(1.0*av_EA-8.989226e-01)))
215           0.101319559574537393    ((av_E_def_subsurf / time) / (ln(1.0*av_EA-8.989226e-01)))
216           0.101870644367007837    ((av_delta_M1_M2_subsurf / time) / (ln(1.0*av_EA-8.989226e-01)))
217           0.104348206814335653    ((av_PE / time) / (ln(1.0*av_EA-8.989226e-01)))
218           0.10447273893757543     ((std_dev / time) / (ln(1.0*av_EA-8.989226e-01)))
219           0.104577284170704679    ((av_d_band_center_surf / time) / (ln(1.0*av_EA-8.989226e-01)))
220           0.1045781175688522      ((av_IP / time) / (ln(1.0*av_EA-8.989226e-01)))
221           0.104725891292215934    ((av_E_coh / time) / (ln(1.0*av_EA-8.989226e-01)))
222           0.104727114251996059    ((av_B_0 / time) / (ln(1.0*av_EA-8.989226e-01)))
223           0.10521401350792968     ((surface_area / time) / (ln(1.0*av_EA-8.989226e-01)))
224           0.105225180324535414    ((particle_diameter / time) / (ln(1.0*av_EA-8.989226e-01)))
225           0.105457536078061451    ((av_bulk_int_dist / time) / (ln(1.0*av_EA-8.989226e-01)))
226           0.105615962055480128    ((surface_area / time) / (av_mu_C_critical_subsurf - av_mu_C_critical_surf))
227           0.106173662585940423    ((av_BE_H_surf / time) / (ln(1.0*av_EA-8.989226e-01)))
228           0.106298655124318436    ((av_mu_C_critical_surf / time) / (ln(1.0*av_EA-8.989226e-01)))
229           0.106974781285294654    ((av_E_b_C_subsurf / time) / (ln(1.0*av_EA-8.989226e-01)))
