# FEAT_ID     Score                   Feature Expression
85            0.524295827124068414    ((av_delta_M1_M2_subsurf / particle_diameter) / (av_d_band_center_surf - av_BE_H_surf))
86            0.524951898279044871    ((surface_area / particle_diameter) / (av_d_band_center_surf - av_BE_H_surf))
87            0.527561120485492085    ((total_metal_loading / particle_diameter) / (av_d_band_center_surf - av_BE_H_surf))
88            0.52936743466001468     ((total_metal_loading^3) / (av_d_band_center_surf - av_BE_H_surf))
89            0.529756786353158038    ((av_E_def_subsurf^2) / (av_d_band_center_surf - av_BE_H_surf))
90            0.531096133864150555    ((ln(1.0*av_EA-8.216725e-01)) / (av_d_band_center_surf - av_BE_H_surf))
91            0.534509146988578765    ((av_E_def_subsurf / particle_diameter) / (av_d_band_center_surf - av_BE_H_surf))
92            0.536732956181283472    ((av_W_change_H + av_E_def_subsurf) / (av_d_band_center_surf - av_BE_H_surf))
93            0.537154833989343605    ((av_E_b_C_subsurf + av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf))
94            0.540109922426349365    ((av_delta_M1_M2_subsurf^6) / (av_d_band_center_surf - av_BE_H_surf))
95            0.541825064056979944    ((av_E_def_subsurf^3) / (av_d_band_center_surf - av_BE_H_surf))
96            0.544077795446790469    (exp(1.648920e-05*((std_dev+8.554238e+04) / (particle_diameter-3.552140e+00))))
97            0.54667726157774077     ((|av_mu_C_critical_subsurf - av_mu_C_critical_surf|) / (av_d_band_center_surf - av_BE_H_surf))
98            0.547645703713593779    ((av_mu_C_critical_subsurf - av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf))
99            0.548888251223031642    ((av_E_def_subsurf^6) / (av_d_band_center_surf - av_BE_H_surf))
#-----------------------------------------------------------------------
100           0.269516361491152712    ((particle_diameter * time) / (av_E_def_subsurf * std_dev))
101           0.269672071117092849    ((ln(1.0*time+7.212409e+00)) * (av_d_band_center_surf * av_E_b_C_subsurf))
102           0.269704303270821788    ((ln(1.0*time+7.212409e+00)) / (av_E_b_C_subsurf + av_IP))
103           0.269783194872699861    ((particle_diameter^2) * (time / surface_area))
104           0.269825996530027701    (cbrt(time) * (av_d_band_center_surf / av_bulk_int_dist))
105           0.269899779128451756    ((ln(1.0*time+7.212409e+00)) / (av_W_change_H + av_BE_H_surf))
106           0.270005750731899086    ((particle_diameter^3) * (time / std_dev))
107           0.270231400467058014    ((ln(1.0*time+7.212409e+00)) / (|av_mu_C_critical_subsurf - av_IP|))
108           0.270829478535179857    ((particle_diameter / surface_area) * sqrt(time))
109           0.271081857256528502    ((std_dev - particle_diameter) * sqrt(time))
110           0.271133134908660978    ((av_BE_H_subsurf * time) / (ln(1.0*av_BE_H_surf+2.635000e+00)))
111           0.271152517725236242    ((ln(1.0*time+7.212409e+00)) * (av_IP * total_metal_loading))
112           0.27131154125982343     ((std_dev - particle_diameter) * (time / av_B_0))
113           0.271438459239686236    ((av_E_b_C_subsurf * time) / (ln(1.0*av_BE_H_surf+2.635000e+00)))
114           0.271663723388958112    ((std_dev - particle_diameter) * (av_BE_H_surf * time))
115           0.272212391710753121    ((total_metal_loading / surface_area) * (av_d_band_center_surf * time))
116           0.272336777660863283    ((total_metal_loading^2) * (av_EA * time))
117           0.272639756987561599    ((av_mu_C_critical_subsurf * time) / (ln(1.0*av_BE_H_surf+2.635000e+00)))
118           0.272823687690244066    ((std_dev - particle_diameter) * (time / av_mu_C_critical_surf))
119           0.273011643300392959    ((av_bulk_int_dist * total_metal_loading) * cbrt(time))
120           0.273410203303586785    ((total_metal_loading * time) * (|av_W_change_H|))
121           0.274123071046657341    (cbrt(time) / (av_B_0 * surface_area))
122           0.275992565732326611    ((av_bulk_int_dist * time) * (std_dev - particle_diameter))
123           0.278194826849881893    ((particle_diameter * time) * (total_metal_loading / std_dev))
124           0.278796566597181439    ((std_dev - particle_diameter) * time)
