# FEAT_ID     Score                   Feature Expression
213           0.0190435209938975038   (av_mu_C_critical_subsurf / surface_area)
214           0.0195711007650735368   (ln(-1.0*std_dev+4.000000e+00))
215           0.0196843669086126348   (av_E_coh * surface_area)
216           0.0198951125877281504   (av_delta_M1_M2_subsurf / av_BE_H_subsurf)
217           0.0199553103255828597   (av_E_b_C_subsurf / surface_area)
218           0.0199749260874942103   (av_delta_M1_M2_subsurf / av_mu_C_critical_surf)
219           0.0215003963443308119   (av_d_band_center_surf * av_E_def_subsurf)
220           0.0237340403502902773   (av_W_change_H^2)
221           0.0245435635471403374   (av_B_0 * surface_area)
222           0.0259145452613854452   (|av_W_change_H|)
223           0.026628504866542918    (surface_area / total_metal_loading)
224           0.0299722469637872385   (total_metal_loading / surface_area)
225           0.052528257563046743    (time / av_W_change_H)
226           0.10019921614615214     (av_W_change_H / time)
227           0.134903576179661866    (time / std_dev)
228           0.150225902749261508    (av_B_0 / time)
229           0.150488055594905384    (av_BE_H_subsurf / time)
230           0.152379341426094633    (av_mu_C_critical_subsurf / time)
231           0.15256782627577381     (av_mu_C_critical_surf / time)
232           0.15376272306314942     (av_E_b_C_subsurf / time)
233           0.15579612379158464     (av_EA * time)
234           0.159076029931896012    (time / particle_diameter)
235           0.161526391881340547    (time / av_d_band_center_surf)
236           0.167517985996778584    (av_BE_H_surf / time)
237           0.169404500850050599    (av_E_coh / time)
238           0.170137191260044757    (std_dev / time)
239           0.17126699014401961     (time^2)
240           0.173151041972760655    (particle_diameter / time)
241           0.176643665445289227    (av_PE / time)
242           0.17754312804588665     (av_B_0 * time)
243           0.178943160621388347    (av_IP / time)
244           0.180630689391697602    (time / total_metal_loading)
245           0.183725891285127008    (1.0 / time)
246           0.185234003426777621    (av_E_def_subsurf * time)
247           0.186552666623830438    (av_bulk_int_dist / time)
248           0.195529134734120147    (av_EA / time)
249           0.20453020449689252     (av_delta_M1_M2_subsurf * time)
#-----------------------------------------------------------------------
